,,,,,,,,,,2021 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,29,2:53:00,24,3:56:00,29,3:42:00,24,4:45:00,15,5:58:00,19,4:12:00,23,2:24:00,25,7:10:00,30,6:30:00,29,5:03:00,43,4:03:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,29,2:53:00,27,6:49:00,28,10:31:00,25,15:16:00,22,21:14:00,20,25:26:00,21,27:50:00,22,35:00:00,23,41:30:00,21,46:33:00,22,50:36:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,3rd Tandem Unlimited,"RD Kissling
Bobby Smart
TC Zach Elkins",2021,9:00, ,11:54:00,,16:00:00,,19:41:00,,0:28:00,,6:33:00,,11:00:00,,13:36:00,,21:18:00,,3:33:00,,9:07:00,,12:36:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,2:54:00,31,4:06:00,28,3:41:00,25,4:47:00,21,6:05:00,26,4:27:00,31,2:36:00,30,7:42:00,24,6:15:00,38,5:34:00,23,3:29:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,2:54:00,30,7:00:00,30,10:41:00,26,15:28:00,26,21:33:00,24,26:00:00,24,28:36:00,24,36:18:00,24,42:33:00,23,48:07:00,23,51:36:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1st Aluminum,"Gaston Jones
Lillian Jones
TC Kim Jones
TC Vance Jones",4,9:00, ,12:00:00,,16:16:00,,20:03:00,,0:59:00,,8:09:00,,12:43:00,,15:22:00,,22:29:00,,5:09:00,,9:42:00,,13:28:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,40,3:00:00,39,4:16:00,32,3:47:00,29,4:56:00,42,7:10:00,29,4:34:00,33,2:39:00,24,7:07:00,33,6:40:00,17,4:33:00,32,3:46:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,40,3:00:00,36,7:16:00,35,11:03:00,32,15:59:00,32,23:09:00,29,27:43:00,29,30:22:00,27,37:29:00,26,44:09:00,24,48:42:00,24,52:28:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2nd USCA C-2,"Shannon Issendorf
Nathan Tart
TC Chris Issendorf
TC Dwight Tart",555,9:00, ,11:46:00,,15:39:00,,19:07:00,,23:27:00,,5:27:00,,9:28:00,,11:33:00,,17:48:00,,23:04:00,,11:00:00,,14:24:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,22,2:46:00,21,3:53:00,16,3:28:00,11,4:20:00,17,6:00:00,11,4:01:00,6,2:05:00,8,6:15:00,9,5:16:00,102,11:56:00,18,3:24:00,,,,,,,,,,,,,,,,,,,,,,,
