,,,,,,,,,,2012 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Legend,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,,,,,,
32,8th Mens Solo,1227,"Brian Jones 
TC - Donna Cannon",9:00, ,11:55:00, ,15:43:00, ,19:25:00, ,0:18:00, ,7:32:00, ,12:59:00, ,15:22:00, ,0:07:00, ,7:52:00, ,13:27:00, ,21:49:00,,,,,
,,,,,24,2:55:00,25,3:48:00,25,3:42:00,29,4:53:00,33,7:14:00,42,5:27:00,12,2:23:00,27,8:45:00,51,7:45:00,51,5:35:00,73,8:22:00,,,,,
,,,,,24,2:55:00,23,6:43:00,22,10:25:00,27,15:18:00,30,22:32:00,33,27:59:00,31,30:22:00,29,39:07:00,30,46:52:00,30,52:27:00,32,60:49:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,4th Tandem Unl/1st Parent Child,55,"Donald Zeek 
Joshua Zeek 
TC - Rebekah Zeek",9:00, ,12:02:00, ,16:10:00, ,20:10:00, ,1:19:00, ,9:31:00, ,14:55:00, ,18:02:00, ,5:21:00, ,13:06:00, ,18:36:00, ,0:43:00,,,,,
,,,,,33,3:02:00,46,4:08:00,37,4:00:00,38,5:09:00,49,8:12:00,38,5:24:00,36,3:07:00,58,11:19:00,50,7:45:00,46,5:30:00,39,6:07:00,,,,,
,,,,,33,3:02:00,40,7:10:00,39,11:10:00,37,16:19:00,39,24:31:00,39,29:55:00,39,33:02:00,36,44:21:00,37,52:06:00,36,57:36:00,33,63:43:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,8th Unlimited,810,"James Ward 
Kent Harlan 
Andy Brown 
Gary Kohut 
TC - Janet Ward",9:00, ,12:10:00, ,16:04:00, ,20:06:00, ,1:30:00, ,8:50:00, ,13:44:00, ,16:58:00, ,5:13:00, ,11:32:00, ,16:27:00, ,0:47:00,,,,,
,,,,,46,3:10:00,34,3:54:00,40,4:02:00,41,5:24:00,36,7:20:00,33,4:54:00,43,3:14:00,73,12:15:00,17,6:19:00,37,4:55:00,71,8:20:00,,,,,
,,,,,46,3:10:00,35,7:04:00,35,11:06:00,39,16:30:00,37,23:50:00,35,28:44:00,34,31:58:00,35,44:13:00,33,50:32:00,33,55:27:00,34,63:47:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,9th Mens Solo,380,"Cullen Franz 
TC - Jason Willis",9:00, ,12:10:00, ,16:16:00, ,20:38:00, ,2:08:00, ,10:03:00, ,15:44:00, ,19:13:00, ,6:36:00, ,13:50:00, ,18:43:00, ,0:50:00,,,,,
,,,,,46,3:10:00,41,4:06:00,54,4:22:00,44,5:30:00,44,7:55:00,45,5:41:00,58,3:29:00,60,11:23:00,34,7:14:00,35,4:53:00,41,6:07:00,,,,,
