,,,,,,,,,,,2005 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Legend,,,,,,,,,,,,,,,,
,,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,
,,,,,,,,,Split Plcemnt,,,1,2:47:00,,Split Time,,,,,,,,,,,,
,,,,,,,,,Overall Plcemnt,,,1,4:59:00,,Overall Time,,,,,,,,,,,,
Position,Boat #,Team Members,,Staples,,Luling 90,,,Zedler Dam,Palmetto,,Gonzales,,Hochheim,,Cuero 766,,Cuero 236,,Victoria,,Dupont,,Tivoli,,Seadrift,
,,,,54,3:25:00,44,7:40:00,43,8:54:00,42,12:04:00,38,18:00:00,38,26:15:00,33,31:00:00,33,33:53:00,31,43:50:00,30,51:00:00,29,55:24:00,27,60:42:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3256,Jonathan Redfern          TC-Lance Bielke,9:00, ,12:14:00, ,16:13:00, ,17:25:00, ,20:23:00, ,2:05:00, ,9:55:00, ,15:10:00, ,17:53:00, ,4:36:00, ,11:29:00, ,16:24:00, ,21:50:00
7th Solo,,,,40,3:14:00,31,3:59:00,37,1:12:00,31,2:58:00,29,5:42:00,37,7:50:00,36,5:15:00,23,2:43:00,48,10:43:00,29,6:53:00,50,4:55:00,51,5:26:00
,,,,40,3:14:00,33,7:13:00,33,8:25:00,33,11:23:00,31,17:05:00,32,24:55:00,31,30:10:00,30,32:53:00,28,43:36:00,29,50:29:00,30,55:24:00,28,60:50:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,70,Don Zeek            Rebekah Zeek                 TC-Sandy Zeek,9:00, ,12:24:00, ,16:39:00, ,17:53:00, ,21:00:00, ,2:52:00, ,10:58:00, ,16:37:00, ,19:21:00, ,5:19:00, ,12:50:00, ,17:24:00, ,22:10:00
3rd Mixed,,,,53,3:24:00,37,4:15:00,43,1:14:00,36,3:07:00,32,5:52:00,45,8:06:00,48,5:39:00,25,2:44:00,39,9:58:00,41,7:31:00,40,4:34:00,36,4:46:00
1st Parent Child,,,,53,3:24:00,42,7:39:00,42,8:53:00,39,12:00:00,34,17:52:00,35,25:58:00,37,31:37:00,37,34:21:00,32,44:19:00,31,51:50:00,31,56:24:00,29,61:10:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,497,Erin Magee                     TC-Phillipe Blouin,9:00, ,11:50:00, ,15:33:00, ,16:34:00, ,19:23:00, ,24:50:00, ,9:32:00, ,13:59:00, ,16:51:00, ,4:41:00, ,11:00:00, ,15:23:00, ,22:26:00
1st Women's Solo,,,,15,2:50:00,14,3:43:00,11,1:01:00,26,2:49:00,26,5:27:00,58,8:42:00,19,4:27:00,29,2:52:00,56,11:50:00,15,6:19:00,33,4:23:00,65,7:03:00
,,,,15,2:50:00,16,6:33:00,15,7:34:00,20,10:23:00,22,15:50:00,28,24:32:00,26,28:59:00,26,31:51:00,29,43:41:00,26,50:00:00,27,54:23:00,30,61:26:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1316,Jason Locke                TC-James Mossman,9:00, ,11:59:00, ,15:51:00, ,17:04:00, ,19:57:00, ,2:27:00, ,11:36:00, ,16:59:00, ,19:42:00, ,7:58:00, ,14:17:00, ,18:37:00, ,22:35:00
8th Solo,,,,28,2:59:00,27,3:52:00,39,1:13:00,28,2:53:00,40,6:30:00,63,9:09:00,43,5:23:00,21,2:43:00,57,12:16:00,16,6:19:00,31,4:20:00,17,3:58:00
,,,,28,2:59:00,26,6:51:00,30,8:04:00,28,10:57:00,32,17:27:00,40,26:36:00,39,31:59:00,38,34:42:00,35,46:58:00,34,53:17:00,35,57:37:00,31,61:35:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,555,Luke Parker            Marvin Parker                   TC-Charles Parker,9:00, ,12:06:00, ,16:29:00, ,17:43:00, ,21:01:00, ,3:57:00, ,11:27:00, ,16:49:00, ,20:07:00, ,7:52:00, ,14:17:00, ,18:12:00, ,23:44:00
2nd Standard,,,,33,3:06:00,46,4:23:00,42,1:14:00,44,3:18:00,44,6:56:00,30,7:30:00,42,5:22:00,42,3:18:00,54,11:45:00,17,6:25:00,16,3:55:00,53,5:32:00
,,,,33,3:06:00,38,7:29:00,37,8:43:00,40,12:01:00,40,18:57:00,39,26:27:00,38,31:49:00,39,35:07:00,34,46:52:00,34,53:17:00,32,57:12:00,32,62:44:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,333,Amiyah Chokhawala          Axel Thomsen                   TC-Alex Thomsen,9:00, ,12:16:00, ,16:39:00, ,17:51:00, ,21:01:00, ,5:27:00, ,12:35:00, ,17:32:00, ,20:26:00, ,8:06:00, ,14:55:00, ,19:03:00, ,0:08:00
3rd Standard,,,,42,3:16:00,44,4:23:00,36,1:12:00,37,3:10:00,58,8:26:00,25,7:08:00,30,4:57:00,31,2:54:00,53,11:40:00,27,6:49:00,25,4:08:00,47,5:05:00
,,,,42,3:16:00,42,7:39:00,40,8:51:00,40,12:01:00,48,20:27:00,44,27:35:00,41,32:32:00,41,35:26:00,36,47:06:00,36,53:55:00,36,58:03:00,33,63:08:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
