,,,,,,,,,2023 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,43,3:22:00,41,8:04:00,37,12:36:00,39,18:03:00,40,26:37:00,37,32:01:00,35,35:24:00,31,45:20:00,31,52:32:00,30,58:12:00,20,63:25:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,10th Unlimited,"Daniel Currey
Derrick Lee
Greg Frank
Cody Taylor

TC Heather Toombs
TC Miranda Wait",667, ,12:14:00,,16:51:00,,21:25:00,,2:27:00,,10:36:00,,15:55:00,,19:12:00,,4:27:00,,12:23:00,,17:32:00,,0:31:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,38,3:14:00,38,4:37:00,41,4:34:00,28,5:02:00,32,8:09:00,30,5:19:00,36,3:17:00,22,9:15:00,33,7:56:00,21,5:09:00,42,6:59:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,38,3:14:00,36,7:51:00,35,12:25:00,34,17:27:00,29,25:36:00,27,30:55:00,27,34:12:00,26,43:27:00,26,51:23:00,26,56:32:00,21,63:31:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1st Solo Unlimited Man,"Brady Lotz

TC Charlene Lotz
TC John Reagan",9, ,12:13:00,,16:43:00,,21:00:00,,2:17:00,,11:00:00,,16:05:00,,19:21:00,,6:43:00,,15:41:00,,20:40:00,,0:36:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,36,3:13:00,31,4:30:00,32,4:17:00,37,5:17:00,43,8:43:00,23,5:05:00,35,3:16:00,56,11:22:00,52,8:58:00,19,4:59:00,12,3:56:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,36,3:13:00,33,7:43:00,31,12:00:00,32,17:17:00,34,26:00:00,29,31:05:00,29,34:21:00,32,45:43:00,34,54:41:00,32,59:40:00,22,63:36:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1st Aluminum,"Stephen Beck
Andy Armendariz

TC Roman Manzano
TC Kendra Alaniz",4747, ,12:33:00,,17:17:00,,21:43:00,,3:06:00,,10:46:00,,16:11:00,,19:13:00,,5:11:00,,12:28:00,,18:15:00,,2:54:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,55,3:33:00,43,4:44:00,34,4:26:00,40,5:23:00,25,7:40:00,35,5:25:00,22,3:02:00,32,9:58:00,20,7:17:00,35,5:47:00,64,8:39:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,55,3:33:00,51,8:17:00,39,12:43:00,41,18:06:00,30,25:46:00,32,31:11:00,28,34:13:00,29,44:11:00,27,51:28:00,27,57:15:00,23,65:54:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1st Standard,"Liam Price
Edoh Amiran

TC Susan Price",424, ,12:11:00,,16:44:00,,21:04:00,,2:28:00,,10:49:00,,16:08:00,,19:27:00,,4:53:00,,12:35:00,,17:17:00,,3:00:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,34,3:11:00,34,4:33:00,33,4:20:00,41,5:24:00,36,8:21:00,28,5:19:00,38,3:19:00,25,9:26:00,26,7:42:00,15,4:42:00,70,9:43:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,34,3:11:00,34,7:44:00,33,12:04:00,35,17:28:00,32,25:49:00,30,31:08:00,31,34:27:00,27,43:53:00,28,51:35:00,24,56:17:00,24,66:00:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,3rd USCA C-2,"Joe Mann
John Bugge

TC Jim Short",1346, ,12:13:00,,16:39:00,,20:39:00,,1:37:00,,9:06:00,,13:58:00,,16:57:00,,1:29:00,,9:03:00,,14:21:00,,5:09:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,36,3:13:00,27,4:26:00,21,4:00:00,25,4:58:00,22,7:29:00,19,4:52:00,19,2:59:00,17,8:32:00,24,7:34:00,23,5:18:00,85,14:48:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,36,3:13:00,29,7:39:00,24,11:39:00,25,16:37:00,22,24:06:00,21,28:58:00,21,31:57:00,17,40:29:00,17,48:03:00,19,53:21:00,25,68:09:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,4th USCA C-2,"Michael Tecci
Chris Champion

TC AJ Champion
TC Jessie Hazelwood",160, ,12:10:00,,16:38:00,,20:42:00,,1:51:00,,9:23:00,,14:42:00,,17:57:00,,2:48:00,,9:51:00,,15:35:00,,5:14:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,31,3:10:00,29,4:28:00,23,4:04:00,34,5:09:00,24,7:32:00,28,5:19:00,32,3:15:00,19,8:51:00,14,7:03:00,32,5:44:00,81,13:39:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,31,3:10:00,27,7:38:00,26,11:42:00,28,16:51:00,25,24:23:00,24,29:42:00,24,32:57:00,22,41:48:00,21,48:51:00,21,54:35:00,26,68:14:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2nd Aluminum,"Andrew Hurst
Garret Hurst

TC Ralph Hurst
TC Eden Hurst",832, ,12:29:00,,17:16:00,,21:46:00,,3:05:00,,11:28:00,,16:56:00,,21:16:00,,8:10:00,,16:00:00,,21:46:00,,5:49:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,51,3:29:00,45,4:47:00,38,4:30:00,39,5:19:00,37,8:23:00,36,5:28:00,76,4:20:00,47,10:54:00,31,7:50:00,34,5:46:00,56,8:03:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,51,3:29:00,49,8:16:00,43,12:46:00,40,18:05:00,37,26:28:00,35,31:56:00,38,36:16:00,36,47:10:00,35,55:00:00,35,60:46:00,27,68:49:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
