,,,,,,,,,,,,2009 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Legend,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,,,,,,
,,,,,,,,,,Split Plcemnt,,,1,2:47:00,,Split Time,,,,,,,,,,,,,,,,,
,,,,,,,,,,Overall Plcemnt,,,1,4:59:00,,Overall Time,,,,,,,,,,,,,,,,,
Position,Recognition,Boat #,Team Members,,Staples,,Luling 90,,Zedler,,Palmetto,,Gonzales,,Hochheim,,Cuero 766,,Cuero 236,,Victoria,,Dupont,,Saltwater Barrier,,Seadrift,,,,,,
,,,,,27,3:39:00,28,8:50:00,28,10:08:00,24,14:11:00,23,22:20:00,21,30:47:00,25,40:00:00,23,43:23:00,19,53:09:00,20,64:03:00,19,70:40:00,19,76:55:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,7th Solo,116,"Tim Curry
TC - Jason Dluhy",9:00, ,12:32:00,,18:04:00,,19:18:00,,0:02:00,,8:05:00,,19:14:00,,4:34:00,,8:01:00,,18:26:00,,2:48:00,,9:08:00,,13:58:00,,,,,
,,,,,26,3:32:00,39,5:32:00,21,1:14:00,37,4:44:00,28,8:03:00,44,11:09:00,44,9:20:00,18,3:27:00,15,10:25:00,19,8:22:00,20,6:20:00,7,4:50:00,,,,,
,,,,,26,3:32:00,30,9:04:00,29,10:18:00,31,15:02:00,29,23:05:00,36,34:14:00,35,43:34:00,31,47:01:00,27,57:26:00,22,65:48:00,22,72:08:00,20,76:58:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2nd Novice,27,"Clay Wyatt
Wes Wyatt
TC - Jill Wyatt",9:00, ,12:26:00,,17:24:00,,18:46:00,,22:57:00,,7:51:00,,16:47:00,,0:27:00,,5:56:00,,16:13:00,,0:27:00,,7:50:00,,14:21:00,,,,,
,,,,,23,3:26:00,23,4:58:00,33,1:22:00,26,4:11:00,39,8:54:00,22,8:56:00,36,7:40:00,52,5:29:00,14,10:17:00,18,8:14:00,28,7:23:00,22,6:31:00,,,,,
,,,,,23,3:26:00,22,8:24:00,22,9:46:00,23,13:57:00,27,22:51:00,26,31:47:00,24,39:27:00,26,44:56:00,21,55:13:00,19,63:27:00,20,70:50:00,21,77:21:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1st Womens,279,"Holly Orr
Debbie Richardson
TC - Hannah DeGray",9:00, ,12:57:00,,18:00:00,,19:21:00,,23:51:00,,6:52:00,,15:47:00,,22:20:00,,2:43:00,,15:40:00,,2:01:00,,8:35:00,,14:24:00,,,,,
,,,,,41,3:57:00,27,5:03:00,31,1:21:00,31,4:30:00,20,7:01:00,21,8:55:00,22,6:33:00,36,4:23:00,26,12:57:00,42,10:21:00,21,6:34:00,14,5:49:00,,,,,
,,,,,41,3:57:00,29,9:00:00,30,10:21:00,28,14:51:00,22,21:52:00,21,30:47:00,19,37:20:00,20,41:43:00,20,54:40:00,21,65:01:00,21,71:35:00,22,77:24:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1st Womens Solo,497,"Erin Magee
TC - Cindy Meurer",9:00, ,12:19:00,,16:43:00,,17:53:00,,21:48:00,,6:30:00,,15:45:00,,22:35:00,,4:04:00,,17:30:00,,2:48:00,,10:22:00,,17:16:00,,,,,
,,,,,19,3:19:00,9,4:24:00,16,1:10:00,20,3:55:00,37,8:42:00,24,9:15:00,26,6:50:00,50,5:29:00,30,13:26:00,29,9:18:00,32,7:34:00,27,6:54:00,,,,,
,,,,,19,3:19:00,13,7:43:00,13,8:53:00,17,12:48:00,20,21:30:00,19,30:45:00,20,37:35:00,21,43:04:00,23,56:30:00,23,65:48:00,23,73:22:00,23,80:16:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,8th Solo,222,"Steve Watson
TC - Anthony Jackson",9:00, ,12:20:00,,17:15:00,,18:28:00,,22:18:00,,6:31:00,,15:46:00,,22:35:00,,4:04:00,,17:30:00,,2:48:00,,10:22:00,,17:16:01,,,,,
,,,,,20,3:20:00,21,4:55:00,20,1:13:00,18,3:50:00,32,8:13:00,24,9:15:00,25,6:49:00,50,5:29:00,30,13:26:00,29,9:18:00,32,7:34:00,28,6:54:01,,,,,
,,,,,20,3:20:00,20,8:15:00,20,9:28:00,20,13:18:00,21,21:31:00,20,30:46:00,20,37:35:00,21,43:04:00,23,56:30:00,23,65:48:00,23,73:22:00,24,80:16:01,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,3rd Novice,48,"Darin Marsh
Larry Reed, Jr
TC - Zachary Reed",9:00, ,12:50:00,,18:13:00,,19:35:00,,23:32:00,,7:50:00,,16:57:00,,0:27:00,,6:09:00,,18:25:00,,4:40:00,,10:25:00,,17:47:00,,,,,
,,,,,35,3:50:00,35,5:23:00,33,1:22:00,22,3:57:00,33,8:18:00,23,9:07:00,35,7:30:00,54,5:42:00,24,12:16:00,40,10:15:00,14,5:45:00,33,7:22:00,,,,,
,,,,,35,3:50:00,33,9:13:00,33,10:35:00,27,14:32:00,26,22:50:00,27,31:57:00,23,39:27:00,27,45:09:00,26,57:25:00,26,67:40:00,25,73:25:00,25,80:47:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2nd Womens Solo,175,"Rebekah Zeek
TC - Jonathan Zeek",9:00, ,13:07:00,,18:27:00,,19:52:00,,0:35:00,,9:31:00,,19:51:00,,3:05:00,,8:28:00,,19:24:00,,6:54:00,,14:00:00,,20:57:00,,,,,
,,,,,52,4:07:00,31,5:20:00,42,1:25:00,35,4:43:00,40,8:56:00,37,10:20:00,31,7:14:00,49,5:23:00,19,10:56:00,49,11:30:00,26,7:06:00,29,6:57:00,,,,,
,,,,,52,4:07:00,39,9:27:00,36,10:52:00,36,15:35:00,36,24:31:00,38,34:51:00,32,42:05:00,32,47:28:00,28,58:24:00,30,69:54:00,30,77:00:00,26,83:57:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1st Standard,1123,"Rob Leef
John Erskine
TC - Aaron Reed",9:00, ,12:44:00,,18:05:00,,19:28:00,,23:56:00,,7:22:00,,16:44:00,,2:30:00,,7:23:00,,21:51:00,,6:35:00,,13:50:00,,21:07:00,,,,,
,,,,,29,3:44:00,33,5:21:00,35,1:23:00,29,4:28:00,21,7:26:00,26,9:22:00,45,9:46:00,43,4:53:00,35,14:28:00,23,8:44:00,27,7:15:00,31,7:17:00,,,,,
,,,,,29,3:44:00,31,9:05:00,32,10:28:00,30,14:56:00,24,22:22:00,25,31:44:00,31,41:30:00,30,46:23:00,32,60:51:00,28,69:35:00,29,76:50:00,27,84:07:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3rd Aluminum,69,"Chris LaRocque
John LaRocque
TC - Pam LaRocque",9:00, ,12:48:00,,18:16:00,,19:42:00,,0:32:00,,8:32:00,,18:04:00,,2:30:00,,6:15:00,,20:20:00,,6:35:00,,13:30:00,,21:19:00,,,,,
,,,,,33,3:48:00,37,5:28:00,44,1:26:00,40,4:50:00,27,8:00:00,28,9:32:00,40,8:26:00,22,3:45:00,33,14:05:00,40,10:15:00,25,6:55:00,37,7:49:00,,,,,
,,,,,33,3:48:00,34,9:16:00,34,10:42:00,35,15:32:00,34,23:32:00,28,33:04:00,30,41:30:00,29,45:15:00,30,59:20:00,28,69:35:00,27,76:30:00,28,84:19:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,4th Aluminum,252,"Paul Black
Mark Hellinger
TC - Marion Black",9:00, ,12:52:00,,18:32:00,,19:55:00,,0:28:00,,8:25:00,,18:20:00,,2:00:00,,5:55:00,,17:58:00,,4:40:00,,11:30:00,,21:42:00,,,,,
