,,,,,,,,,,,,,2006 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Legend,,,,,,,,,,,,,,
,,,,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,
,,,,,,,,,,,Split Plcemnt,,,1,2:47:00,,Split Time,,,,,,,,,,
,,,,,,,,,,,Overall Plcemnt,,,1,4:59:00,,Overall Time,,,,,,,,,,
,Boat #,Team Members,,Staples,,Luling,,Zedler Mill,,Palmetto,,Gonzales,,Hochheim,,Cuero 766,,Cuero 236,,Victoria,,Dupont,,Tivoli,,Seadrift,
22,314,Andrew Stephens      William Russell         TC - Johnny Russell,9:00, ,12:02:00, ,16:27:00, ,17:37:00, ,20:49:00, ,2:22:00, ,11:02:00, ,16:20:00, ,19:22:00, ,6:35:00, ,13:19:00, ,17:55:00, ,0:16:00
,3rd Tandem,,,22,3:02:00,21,4:25:00,18,1:10:00,24,3:12:00,19,5:33:00,20,8:40:00,13,5:18:00,21,3:02:00,36,11:13:00,16,6:44:00,24,4:36:00,46,6:21:00
,,,,22,3:02:00,22,7:27:00,21,8:37:00,22,11:49:00,21,17:22:00,22,26:02:00,20,31:20:00,19,34:22:00,18,45:35:00,18,52:19:00,18,56:55:00,22,63:16:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,481,Jimmy Doran             TC - David Hatton,9:00, ,12:23:00, ,17:21:00, ,18:35:00, ,22:10:00, ,4:52:00, ,13:58:00, ,20:03:00, ,23:48:00, ,10:19:00, ,17:08:00, ,21:43:00, ,2:30:00
,1st USCA C-1,,,38,3:23:00,38,4:58:00,30,1:14:00,34,3:35:00,36,6:42:00,25,9:06:00,29,6:05:00,38,3:45:00,29,10:31:00,18,6:49:00,23,4:35:00,35,4:47:00
,,,,38,3:23:00,35,8:21:00,33,9:35:00,33,13:10:00,34,19:52:00,33,28:58:00,29,35:03:00,29,38:48:00,26,49:19:00,25,56:08:00,25,60:43:00,23,65:30:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,17,Pete Binion                 TC - Bruce Abbitt,9:00, ,12:11:00, ,16:41:00, ,17:52:00, ,21:09:00, ,3:40:00, ,13:51:00, ,19:33:00, ,22:53:00, ,8:55:00, ,16:49:00, ,21:41:00, ,3:20:00
,6th Solo,,,29,3:11:00,25,4:30:00,21,1:11:00,27,3:17:00,35,6:31:00,45,10:11:00,22,5:42:00,28,3:20:00,23,10:02:00,28,7:54:00,33,4:52:00,44,5:39:00
,,,,29,3:11:00,28,7:41:00,27,8:52:00,27,12:09:00,30,18:40:00,32,28:51:00,27,34:33:00,26,37:53:00,25,47:55:00,24,55:49:00,24,60:41:00,24,66:20:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,80,Richard Ameen         Mark Stacell             TC -Meredith Kohut,9:00, ,12:19:00, ,16:56:00, ,18:11:00, ,21:28:00, ,3:06:00, ,13:39:00, ,19:24:00, ,1:15:00, ,10:43:00, ,18:38:00, ,0:43:00, ,4:36:00
,4th Tandem,,,34,3:19:00,30,4:37:00,32,1:15:00,27,3:17:00,22,5:38:00,52,10:33:00,23,5:45:00,58,5:51:00,17,9:28:00,29,7:55:00,51,6:05:00,23,3:53:00
,,,,34,3:19:00,30,7:56:00,29,9:11:00,29,12:28:00,27,18:06:00,30,28:39:00,26,34:24:00,30,40:15:00,27,49:43:00,26,57:38:00,26,63:43:00,25,67:36:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,10,Trey Fly                  Will Hardeman               TC - Joe Fly,9:00, ,12:22:00, ,17:25:00, ,18:43:00, ,22:28:00, ,4:22:00, ,13:38:00, ,19:53:00, ,23:17:00, ,12:13:00, ,20:40:00, ,2:05:00, ,6:30:00
,2nd Novice,,,37,3:22:00,41,5:03:00,40,1:18:00,36,3:45:00,26,5:54:00,30,9:16:00,30,6:15:00,32,3:24:00,42,12:56:00,35,8:27:00,42,5:25:00,31,4:25:00
,,,,37,3:22:00,38,8:25:00,39,9:43:00,36,13:28:00,32,19:22:00,29,28:38:00,28,34:53:00,27,38:17:00,28,51:13:00,27,59:40:00,27,65:05:00,26,69:30:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
